"date","unrate","fedfunds","gdpdef","infl"
1960-04-01,5.2,3.7,15.457,1.42584162124937
1960-07-01,5.5,2.94,15.524,1.7300953345913
1960-10-01,6.3,2.3,15.592,1.74829947943991
1961-01-01,6.8,2,15.61,0.461508928832366
1961-04-01,7,1.73,15.641,0.793574865905633
1961-07-01,6.8,1.68,15.674,0.843046775427325
1961-10-01,6.2,2.4,15.71,0.917665454742789
1962-01-01,5.6,2.46,15.788,1.98108221322837
1962-04-01,5.5,2.61,15.831,1.0879541164158
1962-07-01,5.6,2.85,15.869,0.958990995625975
1962-10-01,5.5,2.92,15.907,0.956697334207313
1963-01-01,5.8,2.97,15.985,1.95660743823254
1963-04-01,5.7,2.96,15.999,0.35017510990798
1963-07-01,5.5,3.33,16.016,0.424800914515977
1963-10-01,5.6,3.45,16.121,2.61381892839871
1964-01-01,5.5,3.46,16.182,1.51069739671446
1964-04-01,5.2,3.49,16.229,1.16010077923896
1964-07-01,5,3.46,16.309,1.96693493641433
1964-10-01,5,3.58,16.378,1.68874726928632
1965-01-01,4.9,3.98,16.45,1.75460254535373
1965-04-01,4.7,4.08,16.527,1.86797197892332
1965-07-01,4.4,4.08,16.602,1.81110514966178
1965-10-01,4.1,4.17,16.711,2.61760607536061
1966-01-01,3.9,4.56,16.813,2.43408459021826
1966-04-01,3.8,4.91,16.965,3.60000061576091
1966-07-01,3.8,5.41,17.114,3.49777750386799
1966-10-01,3.7,5.56,17.254,3.25886346340951
1967-01-01,3.8,4.82,17.326,1.66570512542457
1967-04-01,3.8,3.99,17.43,2.39383842559242
1967-07-01,3.8,3.89,17.587,3.58685328891912
1967-10-01,3.9,4.17,17.781,4.38819148783338
1968-01-01,3.7,4.79,17.975,4.34057285331981
1968-04-01,3.6,5.98,18.177,4.4700620095405
1968-07-01,3.5,5.95,18.351,3.81080411903039
1968-10-01,3.4,5.92,18.607,5.54151403078667
1969-01-01,3.4,6.57,18.793,3.97864242758388
1969-04-01,3.4,8.33,19.041,5.24403556719157
1969-07-01,3.6,8.98,19.312,5.65284614509327
1969-10-01,3.6,8.94,19.554,4.98128189132139
1970-01-01,4.2,8.57,19.823,5.46520424983772
1970-04-01,4.8,7.89,20.109,5.72983853434259
1970-07-01,5.2,6.71,20.274,3.26872036651107
1970-10-01,5.8,5.57,20.539,5.19449634532148
1971-01-01,5.9,3.86,20.85,6.01137216851964
1971-04-01,5.9,4.57,21.13,5.33595335326194
1971-07-01,6,5.48,21.343,4.01199417338614
1971-10-01,5.9,4.75,21.52,3.30356729286105
1972-01-01,5.8,3.55,21.865,6.36177982852022
1972-04-01,5.7,4.3,21.999,2.44392516595529
1972-07-01,5.6,4.74,22.198,3.60207878000622
1972-10-01,5.4,5.15,22.45,4.51536778339019
1973-01-01,4.9,6.54,22.735,5.04598923548425
1973-04-01,4.9,7.82,23.111,6.56124295370404
1973-07-01,4.8,10.56,23.553,7.57780248919762
1973-10-01,4.8,10,23.961,6.86972308765341
1974-01-01,5.1,9.32,24.446,8.01563790068389
1974-04-01,5.2,11.25,24.989,8.78764987389022
1974-07-01,5.6,12.09,25.759,12.1393410268276
1974-10-01,6.6,9.35,26.541,11.9626506249972
1975-01-01,8.3,6.3,27.141,8.94191701694211
1975-04-01,8.9,5.42,27.534,5.75044197161496
1975-07-01,8.5,6.16,28.021,7.01304976999939
1975-10-01,8.3,5.41,28.489,6.62552751717858
1976-01-01,7.7,4.83,28.8,4.34293571328155
1976-04-01,7.6,5.2,29.088,3.98013234126733
1976-07-01,7.7,5.28,29.459,5.06949925279887
1976-10-01,7.8,4.87,29.96,6.74547700878119
1977-01-01,7.5,4.66,30.443,6.39716960871848
1977-04-01,7.1,5.16,30.925,6.28353424309473
1977-07-01,6.9,5.82,31.351,5.47249848731379
1977-10-01,6.7,6.51,31.875,6.63033559270154
1978-01-01,6.3,6.76,32.397,6.49752897605698
1978-04-01,6,7.28,33.043,7.89756705741578
1978-07-01,6,8.1,33.626,6.99593347778578
1978-10-01,5.9,9.58,34.291,7.83334072565953
1979-01-01,5.9,10.07,34.931,7.39670320960233
1979-04-01,5.7,10.18,35.775,9.54985533904935
1979-07-01,5.9,10.95,36.522,8.26619731893121
1979-10-01,6,13.58,37.188,7.2285239415077
1980-01-01,6.3,15.05,38.001,8.65053863039744
1980-04-01,7.3,12.69,38.903,9.38355732150384
1980-07-01,7.7,9.84,39.77,8.81659629849381
1980-10-01,7.4,15.85,40.825,10.4727118547718
1981-01-01,7.4,16.57,41.907,10.4632954227979
1981-04-01,7.4,17.78,42.694,7.44220709015373
1981-07-01,7.4,17.58,43.524,7.70164597994309
1981-10-01,8.2,13.59,44.243,6.55386270443561
1982-01-01,8.8,14.23,44.877,5.69129888423152
1982-04-01,9.4,14.51,45.473,5.27733166707556
1982-07-01,9.9,11.01,46.104,5.51238836249706
1982-10-01,10.7,9.29,46.571,4.0313262722794
1983-01-01,10.4,8.65,46.943,3.18242797671751
1983-04-01,10.1,8.8,47.291,2.95436111801521
1983-07-01,9.4,9.46,47.794,4.23204242171593
1983-10-01,8.5,9.43,48.151,2.97671914170881
1984-01-01,7.9,9.69,48.626,3.9265843277537
1984-04-01,7.4,10.56,49.063,3.57872771746379
1984-07-01,7.4,11.39,49.506,3.59547511070417
1984-10-01,7.3,9.27,49.852,2.78589664554758
1985-01-01,7.2,8.48,50.363,4.07926501035778
1985-04-01,7.3,7.92,50.66,2.35194643340169
1985-07-01,7.2,7.9,50.997,2.65206515648533
1985-10-01,7,8.1,51.262,2.07317179490492
1986-01-01,7,7.83,51.515,1.96931617801077
1986-04-01,7.2,6.92,51.695,1.39521505664995
1986-07-01,7,6.21,51.941,1.89895759792886
1986-10-01,6.8,6.27,52.25,2.37257272457683
1987-01-01,6.6,6.22,52.554,2.32052862563457
1987-04-01,6.3,6.65,52.911,2.70801773893208
1987-07-01,6,6.84,53.32,3.08009542166836
1987-10-01,5.8,6.92,53.72,2.98955053781143
1988-01-01,5.7,6.66,54.135,3.07822204313002
1988-04-01,5.5,7.16,54.676,3.97757181101799
1988-07-01,5.5,7.98,55.345,4.86458581887241
1988-10-01,5.3,8.47,55.854,3.66192900992814
1989-01-01,5.2,9.44,56.392,3.83446444366662
1989-04-01,5.2,9.73,57.002,4.30362018668582
1989-07-01,5.2,9.08,57.425,2.95735745474914
1989-10-01,5.4,8.61,57.817,2.72124060244501
1990-01-01,5.3,8.25,58.447,4.33500423999753
1990-04-01,5.3,8.24,59.101,4.45099362456318
1990-07-01,5.7,8.16,59.612,3.44362053754814
1990-10-01,6.1,7.74,60.067,3.04148391750019
1991-01-01,6.6,6.43,60.651,3.870206968001
1991-04-01,6.8,5.86,61.088,2.87172969721503
1991-07-01,6.9,5.64,61.557,3.05925091855315
1991-10-01,7.1,4.82,61.915,2.31956073093684
1992-01-01,7.4,4.02,62.162,1.5925615627598
1992-04-01,7.6,3.77,62.533,2.38021473017618
1992-07-01,7.6,3.26,62.833,1.91439830667761
1992-10-01,7.4,3.04,63.275,2.80395730603651
1993-01-01,7.1,3.04,63.652,2.37617596669999
1993-04-01,7.1,3,64.027,2.34964921899881
1993-07-01,6.8,3.06,64.349,2.00660980416565
1993-10-01,6.6,2.99,64.727,2.34281248629351
1994-01-01,6.6,3.21,65.058,2.04030183860695
1994-04-01,6.2,3.94,65.369,1.90758410097338
1994-07-01,6,4.49,65.717,2.12380158084784
1994-10-01,5.6,5.17,66.083,2.22155351011253
1995-01-01,5.5,5.81,66.46,2.27549409140551
1995-04-01,5.7,6.02,66.785,1.95129660104847
